Request ID,Billing Date,Status,Amount,Customer ID,Scheduled Billing ID
"216991967","12/16/2013","PROCESSED","$40.00","346804","201189484"
"216640599","11/16/2013","PROCESSED","$40.00","346804","201189484"
"218767956","8/16/2014","PROCESSED","$40.00","346804","201189484"
"217792460","2/16/2014","PROCESSED","$40.00","346804","201189484"
"217393554","1/16/2014","PROCESSED","$40.00","346804","201189484"
"219177916","9/16/2014","PROCESSED","$40.00","346804","201189484"
"10201363242","3/16/2014","PROCESSED","$40.00","346804","201189484"
"219597288","10/16/2014","PROCESSED","$40.00","346804","201189484"
"10201778725","4/16/2014","PROCESSED","$40.00","346804","201189484"
"10202587537","6/16/2014","PROCESSED","$40.00","346804","201189484"
"10202184586","5/16/2014","PROCESSED","$40.00","346804","201189484"
"10202678111","7/16/2014","PROCESSED","$40.00","346804","201189484"
